313.013,0,150,0,150,0,150,0,150
313.212,0,150,0,150,0,150,0,150
316.77,0,150,0,150,0,150,0,150
318.062,0,150,0,150,0,150,0,150
323.109,0,150,0,150,0,150,0,150
323.212,0,150,0,150,0,150,0,150
327.837,0,150,0,150,0,150,0,150
328.333,0,150,0,150,0,150,0,150
329.607,0,150,0,150,0,150,0,150
331.507,0,150,0,150,0,150,0,150
332.598,0,150,0,150,0,150,0,150
339.411,0,150,0,150,0,150,0,150
339.437,0,150,0,150,0,150,0,150
342.618,0,150,0,150,0,150,0,150
348.006,0,150,0,150,0,150,0,150
350.737,0,150,0,150,0,150,0,150
354.73,0,150,0,150,0,150,0,150
356.392,0,150,0,150,0,150,0,150
359.159,0,150,0,150,0,150,0,150
360.229,0,150,0,150,0,150,0,150
366.358,0,150,0,150,0,150,0,150
366.632,0,150,0,150,0,150,0,150
366.705,0,150,0,150,0,150,0,150
369.49,0,150,0,150,0,150,0,150
369.714,0,150,0,150,0,150,0,150
375.688,0,150,0,150,0,150,0,150
379.27,0,150,0,150,0,150,0,150
379.75,0,150,0,150,0,150,0,150
386.18,0,150,0,150,0,150,0,150
388.512,0,150,0,150,0,150,0,150
390.089,0,150,0,150,0,150,0,150
393.207,0,150,0,150,0,150,0,150
395.515,0,150,0,150,0,150,0,150
397.861,0,150,0,150,0,150,0,150
398.732,0,150,0,150,0,150,0,150
400.115,0,150,0,150,0,150,0,150
400.738,0,150,0,150,0,150,0,150
401.917,0,150,0,150,0,150,0,150
406.311,0,150,0,150,0,150,0,150
407.542,0,150,0,150,0,150,0,150
411.01,0,150,0,150,0,150,0,150
413.189,0,150,0,150,0,150,0,150
413.662,0,150,0,150,0,150,0,150
413.717,0,150,0,150,0,150,0,150
413.825,0,150,0,150,0,150,0,150
417.035,0,150,0,150,0,150,0,150
420.882,0,150,0,150,0,150,0,150
421.817,0,150,0,150,0,150,0,150
423.417,0,150,0,150,0,150,0,150
423.749,0,150,0,150,0,150,0,150
424.199,0,150,0,150,0,150,0,150
425.936,0,150,0,150,0,150,0,150
426.185,0,150,0,150,0,150,0,150
434.215,0,150,0,150,0,150,0,150
435.308,0,150,0,150,0,150,0,150
437.257,0,150,0,150,0,150,0,150
438.49,0,150,0,150,0,150,0,150
439.874,0,150,0,150,0,150,0,150
440.339,0,150,0,150,0,150,0,150
441.3,0,150,0,150,0,150,0,150
441.885,0,150,0,150,0,150,0,150
443.734,0,150,0,150,0,150,0,150
444.645,0,150,0,150,0,150,0,150
445.058,0,150,0,150,0,150,0,150
451.642,0,150,0,150,0,150,0,150
451.865,0,150,0,150,0,150,0,150
455.984,0,150,0,150,0,150,0,150
465.248,0,150,0,150,0,150,0,150
466.262,0,150,0,150,0,150,0,150
469.9,0,150,0,150,0,150,0,150
470.828,0,150,0,150,0,150,0,150
472.115,0,150,0,150,0,150,0,150
476.587,0,150,0,150,0,150,0,150
484.703,0,150,0,150,0,150,0,150
489.791,0,150,0,150,0,150,0,150
492.05,0,150,0,150,0,150,0,150
492.07,0,150,0,150,0,150,0,150
494.767,0,150,0,150,0,150,0,150
494.782,0,150,0,150,0,150,0,150
497.787,0,150,0,150,0,150,0,150
498.175,0,150,0,150,0,150,0,150
498.901,0,150,0,150,0,150,0,150
